County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Total Risk Score
"Norfolk County, MA",3,4,1,4,1,4,17
"Bristol County, MA",3,2,1,4,1,4,15
"Plymouth County, MA",3,2,1,4,1,4,15
"Franklin County, MA",3,4,1,1,1,4,14
"Hampshire County, MA",3,4,1,1,1,4,14
"Worcester County, MA",3,4,1,1,1,4,14
"Berkshire County, MA",3,2,1,1,1,4,12
"Worcester County, MD",4,5,4,6,2,6,27
"Somerset County, MD",4,5,4,7,1,6,27
"Dorchester County, MD",4,5,4,7,1,5,26
"Talbot County, MD",4,5,4,4,1,5,23
"Caroline County, MD",4,4,5,4,1,4,22
"Kent County, MD",4,4,5,4,1,4,22
"Queen Anne's County, MD",4,4,5,4,1,4,22
"Anne Arundel County, MD",4,4,5,3,1,4,21
"Charles County, MD",4,4,4,4,1,4,21
"Prince George's County, MD",6,2,5,3,1,4,21
"Wicomico County, MD",4,4,4,4,1,4,21
"Montgomery County, MD",4,4,5,1,1,4,19
"St. Mary's County, MD",4,4,3,4,1,4,20
"Allegany County, MD",6,2,3,1,2,4,18
"Calvert County, MD",4,1,4,4,1,4,18
"Cecil County, MD",4,1,4,4,1,4,18
"Baltimore County, MD",4,1,4,3,1,4,17
"Harford County, MD",4,1,4,3,1,4,17
"Washington County, MD",4,2,3,1,2,4,16
"Frederick County, MD",3,2,4,1,1,4,15
"Garrett County, MD",3,2,3,1,2,4,15
"Howard County, MD",4,1,4,1,1,4,15
"Carroll County, MD",3,1,3,1,1,4,13
"Baltimore city, MD",4,1,1,3,1,4,14
"Hancock County, ME",3,4,1,3,1,6,18
"Cumberland County, ME",3,4,1,4,1,4,17
"Sagadahoc County, ME",3,5,1,4,1,3,17
"York County, ME",3,4,1,4,1,4,17
"Knox County, ME",3,4,1,3,1,4,16
"Androscoggin County, ME",3,4,1,1,1,4,14
"Kennebec County, ME",3,4,1,1,1,4,14
"Penobscot County, ME",3,4,1,3,1,3,15
"Washington County, ME",3,4,1,4,1,2,15
"Lincoln County, ME",3,2,1,4,1,2,13
"Waldo County, ME",3,2,1,3,1,3,13
"Oxford County, ME",3,4,1,1,1,2,12
"Somerset County, ME",3,2,1,1,1,3,11
"Aroostook County, ME",3,2,1,1,1,2,10
"Franklin County, ME",3,2,1,1,1,2,10
"Piscataquis County, ME",3,2,1,1,1,1,9
"Berrien County, MI",4,5,3,1,1,4,18
"Mackinac County, MI",3,4,3,1,3,4,18
"St. Joseph County, MI",4,5,3,1,1,4,18
"Baraga County, MI",3,2,3,1,3,4,16
"Bay County, MI",3,5,3,1,1,4,17
"Cheboygan County, MI",3,4,3,1,2,4,17
"Gogebic County, MI",3,4,3,1,2,4,17
"Hillsdale County, MI",4,4,3,1,1,4,17
"Monroe County, MI",3,5,3,1,1,4,17
"Oakland County, MI",4,4,3,1,1,4,17
"Oscoda County, MI",3,4,3,1,2,4,17
"Otsego County, MI",3,4,3,1,2,4,17
"Ottawa County, MI",3,5,3,1,1,4,17
"Van Buren County, MI",3,5,3,1,1,4,17
"Wayne County, MI",4,4,3,1,1,4,17
"Alcona County, MI",3,4,3,1,1,4,16
"Alpena County, MI",3,4,3,1,1,4,16
"Barry County, MI",3,4,3,1,1,4,16
"Branch County, MI",3,4,3,1,1,4,16
"Calhoun County, MI",3,4,3,1,1,4,16
"Cass County, MI",3,4,3,1,1,4,16
"Chippewa County, MI",3,4,3,1,1,4,16
"Clinton County, MI",3,4,3,1,1,4,16
"Eaton County, MI",3,4,3,1,1,4,16
"Emmet County, MI",3,2,3,1,2,4,15
"Genesee County, MI",3,4,3,1,1,4,16
"Gladwin County, MI",3,4,3,1,1,4,16
"Gratiot County, MI",3,4,3,1,1,4,16
"Houghton County, MI",3,2,3,1,3,3,15
"Huron County, MI",3,4,3,1,1,4,16
"Ingham County, MI",3,4,3,1,1,4,16
"Jackson County, MI",3,4,3,1,1,4,16
"Kalamazoo County, MI",3,4,3,1,1,4,16
"Kalkaska County, MI",3,2,3,1,2,4,15
"Lapeer County, MI",3,4,3,1,1,4,16
"Lenawee County, MI",3,4,3,1,1,4,16
"Livingston County, MI",3,4,3,1,1,4,16
"Marquette County, MI",3,1,3,1,3,4,15
"Midland County, MI",3,4,3,1,1,4,16
"Missaukee County, MI",3,2,3,1,2,4,15
"Montmorency County, MI",3,2,3,1,2,4,15
"Ogemaw County, MI",3,2,3,1,2,4,15
"Ontonagon County, MI",3,5,3,1,1,3,16
"Roscommon County, MI",3,2,3,1,2,4,15
"Saginaw County, MI",3,4,3,1,1,4,16
"Sanilac County, MI",3,4,3,1,1,4,16
"Shiawassee County, MI",3,4,3,1,1,4,16
"Tuscola County, MI",3,4,3,1,1,4,16
"Washtenaw County, MI",3,4,3,1,1,4,16
"Allegan County, MI",3,2,3,1,1,4,14
"Clare County, MI",3,2,3,1,1,4,14
"Dickinson County, MI",3,1,3,1,2,4,14
"Ionia County, MI",3,2,3,1,1,4,14
"Iosco County, MI",3,2,3,1,1,4,14
"Isabella County, MI",3,2,3,1,1,4,14
"Kent County, MI",3,2,3,1,1,4,14
"Macomb County, MI",3,2,3,1,1,4,14
"Mason County, MI",3,2,3,1,1,4,14
"Menominee County, MI",3,1,3,1,2,4,14
"Montcalm County, MI",3,2,3,1,1,4,14
"Muskegon County, MI",3,2,3,1,1,4,14
"Newaygo County, MI",3,2,3,1,1,4,14
"Presque Isle County, MI",3,2,3,1,1,4,14
"St. Clair County, MI",3,2,3,1,1,4,14
"Schoolcraft County, MI",3,1,3,1,2,4,14
"Wexford County, MI",3,1,3,1,2,4,14
"Antrim County, MI",3,1,3,1,1,4,13
"Arenac County, MI",3,1,3,1,1,4,13
"Benzie County, MI",3,1,3,1,1,4,13
"Charlevoix County, MI",3,1,3,1,1,4,13
"Delta County, MI",3,1,3,1,1,4,13
"Grand Traverse County, MI",3,1,3,1,1,4,13
"Iron County, MI",3,2,1,1,3,4,14
"Lake County, MI",3,1,3,1,1,4,13
"Leelanau County, MI",3,1,3,1,1,4,13
"Manistee County, MI",3,1,3,1,1,4,13
"Mecosta County, MI",3,1,3,1,1,4,13
"Oceana County, MI",3,1,3,1,1,4,13
"Osceola County, MI",3,1,3,1,1,4,13
"Alger County, MI",3,1,3,1,1,3,12
"Crawford County, MI",3,2,1,1,2,4,13
"Luce County, MI",3,2,1,1,1,4,12
"Keweenaw County, MI",3,5,1,1,1,1,12
"St. Louis County, MN",3,1,3,1,7,4,19
"Aitkin County, MN",3,2,3,1,6,4,19
"Beltrami County, MN",3,1,3,1,6,4,18
"Cass County, MN",3,2,3,1,6,4,19
"Itasca County, MN",3,1,3,1,6,4,18
"Koochiching County, MN",3,1,3,1,6,4,18
"Clearwater County, MN",3,1,3,1,6,4,18
"Crow Wing County, MN",3,2,3,1,5,4,18
"Morrison County, MN",4,4,3,1,3,4,19
"Blue Earth County, MN",4,5,3,1,1,4,18
"Carlton County, MN",3,4,3,1,3,4,18
"Faribault County, MN",4,5,3,1,1,4,18
"Le Sueur County, MN",4,5,3,1,1,4,18
"McLeod County, MN",4,5,3,1,1,4,18
"Martin County, MN",4,5,3,1,1,4,18
"Pine County, MN",3,4,3,1,3,4,18
"Brown County, MN",3,5,3,1,1,4,17
"Cottonwood County, MN",4,4,3,1,1,4,17
"Freeborn County, MN",3,5,3,1,1,4,17
"Hubbard County, MN",3,1,3,1,4,4,16
"Mille Lacs County, MN",3,2,3,1,3,4,16
"Nicollet County, MN",3,5,3,1,1,4,17
"Ramsey County, MN",3,5,3,1,1,4,17
"Renville County, MN",4,4,3,1,1,4,17
"Sibley County, MN",3,5,3,1,1,4,17
"Waseca County, MN",4,4,3,1,1,4,17
"Carver County, MN",3,4,3,1,1,4,16
"Dakota County, MN",3,4,3,1,1,4,16
"Dodge County, MN",3,4,3,1,1,4,16
"Fillmore County, MN",3,4,3,1,1,4,16
"Goodhue County, MN",3,4,3,1,1,4,16
"Hennepin County, MN",3,4,3,1,1,4,16
"Jackson County, MN",4,2,3,1,1,4,15
"Kandiyohi County, MN",3,4,3,1,1,4,16
"Lake County, MN",3,1,1,1,6,4,16
"Lincoln County, MN",4,2,3,1,1,4,15
"Lyon County, MN",4,2,3,1,1,4,15
"Meeker County, MN",3,4,3,1,1,4,16
"Mower County, MN",3,4,3,1,1,4,16
"Norman County, MN",4,2,3,1,1,4,15
"Olmsted County, MN",3,4,3,1,1,4,16
"Redwood County, MN",4,2,3,1,1,4,15
"Rice County, MN",3,4,3,1,1,4,16
"Scott County, MN",3,4,3,1,1,4,16
"Stearns County, MN",3,4,3,1,1,4,16
"Steele County, MN",3,4,3,1,1,4,16
"Wabasha County, MN",3,4,3,1,1,4,16
"Washington County, MN",3,4,3,1,1,4,16
"Watonwan County, MN",3,4,3,1,1,4,16
"Winona County, MN",3,4,3,1,1,4,16
"Wright County, MN",3,4,3,1,1,4,16
"Yellow Medicine County, MN",4,2,3,1,1,4,15
"Chippewa County, MN",4,1,3,1,1,4,14
"Chisago County, MN",3,2,3,1,1,4,14
"Clay County, MN",4,1,3,1,1,4,14
"Isanti County, MN",3,2,3,1,1,4,14
"Kanabec County, MN",3,1,3,1,2,4,14
"Lac qui Parle County, MN",4,1,3,1,1,4,14
"Otter Tail County, MN",3,2,3,1,1,4,14
"Pipestone County, MN",4,1,3,1,1,4,14
"Pope County, MN",4,1,3,1,1,4,14
"Rock County, MN",4,1,3,1,1,4,14
"Sherburne County, MN",3,2,3,1,1,4,14
"Swift County, MN",4,1,3,1,1,4,14
"Todd County, MN",3,2,3,1,1,4,14
"Wadena County, MN",3,2,3,1,1,4,14
"Anoka County, MN",3,1,3,1,1,4,13
"Becker County, MN",3,1,3,1,1,4,13
"Benton County, MN",3,1,3,1,1,4,13
"Big Stone County, MN",3,1,3,1,1,4,13
"Cook County, MN",3,1,1,1,6,2,14
"Douglas County, MN",3,1,3,1,1,4,13
"Grant County, MN",3,1,3,1,1,4,13
"Houston County, MN",3,1,3,1,1,4,13
"Kittson County, MN",3,1,3,1,1,4,13
"Lake of the Woods County, MN",3,1,3,1,1,4,13
"Mahnomen County, MN",3,1,3,1,1,4,13
"Marshall County, MN",3,1,3,1,1,4,13
"Murray County, MN",3,1,3,1,1,4,13
"Nobles County, MN",3,1,3,1,1,4,13
"Pennington County, MN",3,1,3,1,1,4,13
"Polk County, MN",3,1,3,1,1,4,13
"Red Lake County, MN",3,1,3,1,1,4,13
"Roseau County, MN",3,1,3,1,1,4,13
"Stevens County, MN",3,1,3,1,1,4,13
"Traverse County, MN",3,1,3,1,1,4,13
"Wilkin County, MN",3,1,3,1,1,4,13
"Camden County, MO",6,6,8,1,2,6,29
"Hickory County, MO",6,5,8,1,2,7,29
"Wayne County, MO",6,7,8,1,2,6,30
"Bollinger County, MO",6,6,8,1,2,6,29
"Dunklin County, MO",6,7,8,1,1,5,28
"Maries County, MO",6,7,7,1,2,6,29
"Phelps County, MO",6,7,8,1,2,5,29
"Ripley County, MO",6,5,8,1,2,6,28
"Cape Girardeau County, MO",6,7,8,1,1,5,28
"Carter County, MO",6,9,6,1,2,5,29
"Cedar County, MO",6,5,8,1,2,5,27
"Morgan County, MO",4,5,8,1,2,6,26
"New Madrid County, MO",6,7,8,1,1,5,28
"Osage County, MO",6,7,8,1,1,5,28
"Pemiscot County, MO",6,7,8,1,1,5,28
"Scott County, MO",6,7,8,1,1,5,28
"Stone County, MO",6,2,8,1,2,6,25
"Bates County, MO",6,4,8,1,3,5,27
"Butler County, MO",6,5,8,1,2,5,27
"Christian County, MO",6,2,8,1,2,6,25
"Cole County, MO",6,7,7,1,1,5,27
"Dallas County, MO",4,5,8,1,2,6,26
"Franklin County, MO",6,7,7,1,1,5,27
"Gasconade County, MO",6,7,7,1,1,5,27
"Laclede County, MO",4,5,8,1,2,5,25
"Miller County, MO",6,6,7,1,2,5,27
"Mississippi County, MO",6,6,8,1,1,5,27
"Perry County, MO",6,6,8,1,1,5,27
"St. Clair County, MO",6,2,8,1,2,6,25
"Ste. Genevieve County, MO",6,6,8,1,1,5,27
"Vernon County, MO",6,4,8,1,2,5,26
"Barton County, MO",6,4,8,1,2,5,26
"Benton County, MO",4,2,8,1,2,6,23
"Carroll County, MO",6,6,7,1,1,5,26
"Chariton County, MO",6,6,6,1,2,5,26
"Clay County, MO",6,4,8,1,2,5,26
"Crawford County, MO",6,7,5,1,2,5,26
"Dade County, MO",6,2,8,1,2,5,24
"Dent County, MO",6,5,7,1,2,5,26
"Henry County, MO",6,4,8,1,2,5,26
"Jasper County, MO",6,2,8,1,2,5,24
"Jefferson County, MO",6,5,6,1,2,6,26
"Johnson County, MO",6,4,8,1,2,5,26
"Lafayette County, MO",6,5,7,1,1,6,26
"Lawrence County, MO",6,2,8,1,2,5,24
"Platte County, MO",6,4,8,1,2,5,26
"Polk County, MO",6,2,8,1,2,5,24
"Pulaski County, MO",4,5,8,1,2,5,25
"Ray County, MO",6,4,7,1,2,6,26
"Reynolds County, MO",6,7,5,1,2,5,26
"St. Francois County, MO",6,5,7,1,2,5,26
"Saline County, MO",6,5,7,1,2,5,26
"Stoddard County, MO",6,5,8,1,1,5,26
"Taney County, MO",6,2,8,1,2,5,24
"Texas County, MO",4,5,8,1,2,5,25
"Warren County, MO",6,6,7,1,1,5,26
"Washington County, MO",6,7,5,1,2,5,26
"Barry County, MO",4,2,8,1,2,5,22
"Boone County, MO",6,4,7,1,2,5,25
"Cass County, MO",4,2,8,1,2,6,23
"Cooper County, MO",4,5,7,1,2,5,24
"Greene County, MO",6,2,8,1,2,5,24
"Howard County, MO",4,5,7,1,2,5,24
"Howell County, MO",6,1,8,1,2,5,23
"Jackson County, MO",4,4,8,1,2,5,24
"McDonald County, MO",4,2,8,1,2,5,22
"Madison County, MO",6,6,5,1,2,5,25
"Moniteau County, MO",4,6,7,1,1,5,24
"Newton County, MO",4,2,8,1,2,5,22
"Pettis County, MO",4,5,7,1,2,5,24
"St. Louis County, MO",6,5,7,1,1,5,25
"Webster County, MO",4,2,8,1,2,5,22
"Wright County, MO",4,4,8,1,2,5,24
"Atchison County, MO",6,5,6,1,1,5,24
"Douglas County, MO",4,2,8,1,2,5,22
"Lincoln County, MO",6,4,6,1,1,6,24
"Livingston County, MO",6,4,6,1,2,5,24
"Marion County, MO",4,5,6,1,2,5,23
"Monroe County, MO",4,5,6,1,2,5,23
"Ozark County, MO",4,2,7,1,2,6,22
"Ralls County, MO",4,5,6,1,2,5,23
"Randolph County, MO",4,5,6,1,2,5,23
"Andrew County, MO",4,4,7,1,1,5,22
"Audrain County, MO",4,4,6,1,2,5,22
"Buchanan County, MO",4,4,7,1,1,5,22
"Callaway County, MO",4,5,6,1,1,5,22
"Clark County, MO",4,5,5,1,2,5,22
"Lewis County, MO",4,5,5,1,2,5,22
"Linn County, MO",4,5,5,1,2,5,22
"Montgomery County, MO",4,5,6,1,1,5,22
"Nodaway County, MO",4,5,6,1,1,5,22
"Pike County, MO",6,4,6,1,1,5,23
"St. Charles County, MO",4,4,7,1,1,5,22
"Scotland County, MO",6,4,5,1,2,5,23
"Caldwell County, MO",4,4,6,1,1,5,21
"DeKalb County, MO",4,4,6,1,1,5,21
"Gentry County, MO",4,4,6,1,1,5,21
"Grundy County, MO",4,4,5,1,2,5,21
"Holt County, MO",4,4,6,1,1,5,21
"Iron County, MO",6,4,4,1,2,5,22
"Knox County, MO",4,4,5,1,2,5,21
"Macon County, MO",4,4,5,1,2,5,21
"Shelby County, MO",4,4,5,1,2,5,21
"Sullivan County, MO",4,4,5,1,2,5,21
"Adair County, MO",4,4,4,1,2,5,20
"Clinton County, MO",4,2,6,1,1,5,19
"Daviess County, MO",4,4,5,1,1,5,20
"Harrison County, MO",4,4,5,1,1,5,20
"Mercer County, MO",4,4,4,1,2,5,20
"Putnam County, MO",4,4,4,1,2,5,20
"Schuyler County, MO",4,4,4,1,2,5,20
"Shannon County, MO",6,7,1,1,2,5,22
"Worth County, MO",4,4,5,1,1,5,20
"Oregon County, MO",6,4,1,1,2,5,19
"St. Louis city, MO",6,5,1,1,1,5,19
"Jackson County, MS",6,9,8,4,3,8,38
"Harrison County, MS",7,7,8,4,2,7,35
"Clarke County, MS",7,6,9,1,1,7,31
"Stone County, MS",7,6,8,1,1,8,31
"Carroll County, MS",7,7,8,1,1,6,30
"Jefferson Davis County, MS",6,5,9,1,1,8,30
"Lamar County, MS",6,7,8,1,1,7,30
"Perry County, MS",6,6,9,1,1,7,30
"Simpson County, MS",7,6,8,1,1,7,30
"Walthall County, MS",7,5,8,1,1,8,30
"Warren County, MS",7,9,9,1,1,5,32
"Amite County, MS",7,4,8,1,1,8,29
"Copiah County, MS",7,4,9,1,1,7,29
"George County, MS",6,5,8,1,1,8,29
"Greene County, MS",6,5,8,1,1,8,29
"Lawrence County, MS",7,5,8,1,1,7,29
"Lincoln County, MS",7,5,8,1,1,7,29
"Neshoba County, MS",7,7,9,1,1,5,30
"Smith County, MS",7,5,8,1,1,7,29
"Tate County, MS",7,9,8,1,1,5,31
"Wilkinson County, MS",7,2,9,1,1,8,28
"Claiborne County, MS",7,6,9,1,1,5,29
"Clay County, MS",7,7,8,1,1,5,29
"Covington County, MS",6,5,8,1,1,7,28
"Forrest County, MS",6,6,9,1,1,6,29
"Franklin County, MS",7,4,8,1,1,7,28
"Jasper County, MS",7,5,9,1,1,6,29
"Jefferson County, MS",7,4,8,1,1,7,28
"Lafayette County, MS",7,7,8,1,1,5,29
"Lee County, MS",7,7,8,1,1,5,29
"Lowndes County, MS",7,7,8,1,1,5,29
"Marion County, MS",6,5,8,1,1,7,28
"Monroe County, MS",7,7,8,1,1,5,29
"Pike County, MS",7,4,8,1,1,7,28
"Wayne County, MS",7,5,8,1,1,6,28
"Winston County, MS",7,7,8,1,1,5,29
"Hinds County, MS",7,5,9,1,1,5,28
"Holmes County, MS",7,6,8,1,1,5,28
"Humphreys County, MS",7,7,8,1,1,5,29
"Jones County, MS",7,5,8,1,1,6,28
"Leake County, MS",7,6,8,1,1,5,28
"Madison County, MS",7,6,8,1,1,5,28
"Marshall County, MS",7,6,8,1,1,5,28
"Noxubee County, MS",7,6,8,1,1,5,28
"Oktibbeha County, MS",7,6,8,1,1,5,28
"Rankin County, MS",7,6,8,1,1,5,28
"Sharkey County, MS",9,9,6,1,1,5,31
"Yalobusha County, MS",7,6,8,1,1,5,28
"Yazoo County, MS",7,7,8,1,1,5,29
"Adams County, MS",7,2,8,1,1,6,25
"Calhoun County, MS",6,6,8,1,1,5,27
"Grenada County, MS",6,6,8,1,1,5,27
"Issaquena County, MS",9,5,8,1,1,5,29
"Kemper County, MS",7,5,8,1,1,5,27
"Lauderdale County, MS",7,4,9,1,1,5,27
"Newton County, MS",7,4,8,1,1,6,27
"Panola County, MS",7,5,8,1,1,5,27
"Pearl River County, MS",4,5,8,1,1,7,26
"Pontotoc County, MS",6,6,8,1,1,5,27
"Scott County, MS",7,5,8,1,1,5,27
"Sunflower County, MS",7,7,7,1,1,5,28
"Attala County, MS",6,5,8,1,1,5,26
"Benton County, MS",6,5,8,1,1,5,26
"Chickasaw County, MS",6,5,8,1,1,5,26
"DeSoto County, MS",7,4,8,1,1,5,26
"Hancock County, MS",4,6,1,6,2,9,28
"Itawamba County, MS",6,5,8,1,1,5,26
"Leflore County, MS",7,6,7,1,1,5,27
"Prentiss County, MS",6,6,8,1,1,5,27
"Tippah County, MS",6,5,8,1,1,5,26
"Union County, MS",6,5,8,1,1,5,26
"Webster County, MS",6,5,8,1,1,5,26
"Alcorn County, MS",6,5,8,1,1,5,26
"Bolivar County, MS",7,5,7,1,1,5,26
"Choctaw County, MS",6,4,8,1,1,5,25
"Coahoma County, MS",7,4,8,1,1,5,26
"Montgomery County, MS",6,4,8,1,1,5,25
"Quitman County, MS",7,4,8,1,1,5,26
"Tunica County, MS",7,4,8,1,1,5,26
"Washington County, MS",7,6,6,1,1,5,26
"Tallahatchie County, MS",6,4,8,1,1,5,25
"Tishomingo County, MS",6,4,8,1,1,5,25
"Big Horn County, MT",6,1,4,1,7,4,23
"Rosebud County, MT",6,1,4,1,7,4,23
"Carter County, MT",4,2,4,1,6,4,21
"Custer County, MT",6,1,4,1,6,4,22
"Dawson County, MT",6,2,4,1,6,4,23
"Garfield County, MT",4,1,4,1,7,4,21
"Sanders County, MT",6,1,3,1,7,4,22
"Blaine County, MT",4,1,4,1,6,4,20
"Fergus County, MT",3,1,4,1,7,4,20
"Flathead County, MT",4,1,3,1,7,4,20
"Musselshell County, MT",6,1,4,1,6,4,22
"Petroleum County, MT",6,1,4,1,6,4,22
"Phillips County, MT",4,1,4,1,6,4,20
"Prairie County, MT",6,1,4,1,6,4,22
"Valley County, MT",4,1,4,1,6,4,20
"Yellowstone County, MT",4,1,4,1,6,4,20
"Chouteau County, MT",4,1,3,1,6,4,19
"Hill County, MT",4,1,4,1,6,4,20
"Lewis and Clark County, MT",4,1,3,1,6,4,19
"McCone County, MT",4,1,4,1,6,4,20
"Treasure County, MT",4,1,4,1,6,4,20
"Carbon County, MT",4,1,3,1,6,4,19
"Fallon County, MT",4,1,4,1,5,4,19
"Lake County, MT",3,1,3,1,6,4,18
"Ravalli County, MT",3,1,3,1,6,4,18
"Richland County, MT",6,1,4,1,4,4,20
"Stillwater County, MT",4,1,3,1,6,4,19
"Sweet Grass County, MT",4,1,3,1,6,4,19
"Golden Valley County, MT",4,1,3,1,5,4,18
"Lincoln County, MT",6,1,1,1,6,4,19
"Powder River County, MT",6,1,1,1,6,4,19
"Roosevelt County, MT",4,1,4,1,4,4,18
"Beaverhead County, MT",3,1,1,1,7,4,17
"Cascade County, MT",4,1,1,1,6,4,17
"Daniels County, MT",4,1,4,1,3,4,17
"Gallatin County, MT",4,1,1,1,6,4,17
"Missoula County, MT",4,1,1,1,6,4,17
"Sheridan County, MT",4,1,4,1,3,4,17
"Toole County, MT",3,1,3,1,5,4,17
"Wheatland County, MT",3,1,3,1,5,4,17
"Wibaux County, MT",4,1,4,1,3,4,17
"Broadwater County, MT",4,1,1,1,6,4,17
"Madison County, MT",3,1,1,1,6,4,16
"Meagher County, MT",3,1,1,1,6,4,16
"Mineral County, MT",4,1,1,1,6,4,17
"Pondera County, MT",3,1,3,1,4,4,16
"Granite County, MT",4,1,1,1,6,3,16
"Jefferson County, MT",3,1,1,1,6,4,16
"Judith Basin County, MT",3,1,1,1,6,4,16
"Liberty County, MT",4,1,1,1,5,4,16
"Powell County, MT",3,1,1,1,6,4,16
"Teton County, MT",3,1,1,1,6,4,16
"Park County, MT",3,1,1,1,6,3,15
"Deer Lodge County, MT",3,1,1,1,3,4,13
"Glacier County, MT",3,1,1,1,3,4,13
"Silver Bow County, MT",3,1,1,1,3,4,13
"Hyde County, NC",4,7,7,10,2,9,39
"Pamlico County, NC",4,7,8,6,2,10,37
"Tyrrell County, NC",4,7,7,10,2,8,38
"Pender County, NC",4,6,8,6,3,8,35
"Beaufort County, NC",4,7,7,6,2,8,34
"Camden County, NC",4,7,7,6,2,8,34
"Craven County, NC",4,7,8,4,3,6,32
"Currituck County, NC",4,7,7,6,2,8,34
"Gates County, NC",6,6,8,4,2,7,33
"Jones County, NC",4,7,8,3,2,8,32
"Perquimans County, NC",4,7,7,4,2,8,32
"Chowan County, NC",4,7,8,4,2,6,31
"Pasquotank County, NC",4,7,7,4,2,7,31
"Greene County, NC",6,7,8,1,1,6,29
"Brunswick County, NC",4,7,4,4,2,8,29
"Carteret County, NC",4,7,3,6,1,9,30
"New Hanover County, NC",4,9,5,4,1,7,30
"Bertie County, NC",4,5,8,4,3,5,29
"Bladen County, NC",6,5,8,1,3,5,28
"Columbus County, NC",4,5,8,3,3,5,28
"Lenoir County, NC",6,7,8,1,1,5,28
"Pitt County, NC",6,6,8,3,1,5,29
"Wayne County, NC",6,7,8,1,1,5,28
"Cumberland County, NC",6,6,8,1,1,5,27
"Hertford County, NC",6,4,8,4,2,5,29
"Washington County, NC",4,7,6,4,2,5,28
"Wilson County, NC",6,6,8,1,1,5,27
"Dare County, NC",3,6,3,6,1,8,27
"Edgecombe County, NC",6,5,8,1,1,5,26
"Onslow County, NC",4,7,4,4,1,6,26
"Duplin County, NC",4,6,8,1,1,5,25
"Martin County, NC",4,4,8,4,1,5,26
"Hoke County, NC",6,2,8,1,1,5,23
"Robeson County, NC",6,2,8,1,1,5,23
"Sampson County, NC",6,2,8,1,1,5,23
"Scotland County, NC",6,2,8,1,1,5,23
"Harnett County, NC",6,2,8,1,1,5,23
"Northampton County, NC",4,4,7,1,2,5,23
"Anson County, NC",6,2,7,1,1,5,22
"Chatham County, NC",6,2,7,1,1,5,22
"Halifax County, NC",4,4,7,1,1,5,22
"Johnston County, NC",4,2,8,1,1,5,21
"Lee County, NC",6,2,7,1,1,5,22
"Durham County, NC",6,2,6,1,1,5,21
"Montgomery County, NC",4,2,7,1,1,5,20
"Nash County, NC",6,2,6,1,1,5,21
"Richmond County, NC",4,1,8,1,1,5,20
"Union County, NC",6,2,6,1,1,5,21
"Moore County, NC",4,1,7,1,1,5,19
"Alamance County, NC",6,2,4,1,1,5,19
"Granville County, NC",6,1,5,1,1,5,19
"Polk County, NC",3,1,7,1,1,5,18
"Transylvania County, NC",6,4,3,1,2,5,21
"Vance County, NC",6,4,3,1,1,5,20
"Cabarrus County, NC",6,1,4,1,1,5,18
"Franklin County, NC",6,1,4,1,1,5,18
"Wake County, NC",4,1,5,1,1,5,17
"Warren County, NC",4,2,4,1,1,5,17
"Caswell County, NC",6,2,3,1,1,4,17
"Mecklenburg County, NC",4,1,4,1,1,5,16
"Orange County, NC",4,1,4,1,1,5,16
"Randolph County, NC",4,1,5,1,1,4,16
"Stanly County, NC",4,1,4,1,1,5,16
"Wilkes County, NC",4,2,3,1,2,4,16
"Caldwell County, NC",4,1,3,1,1,5,15
"Catawba County, NC",4,1,3,1,1,5,15
"Cherokee County, NC",4,1,3,1,2,5,16
"Cleveland County, NC",4,1,3,1,1,5,15
"Davidson County, NC",4,1,3,1,1,5,15
"Davie County, NC",4,1,3,1,1,5,15
"Gaston County, NC",4,1,3,1,1,5,15
"Guilford County, NC",4,1,3,1,1,5,15
"Henderson County, NC",3,1,3,1,2,5,15
"Iredell County, NC",4,1,3,1,1,5,15
"Lincoln County, NC",4,1,3,1,1,5,15
"Rockingham County, NC",4,1,4,1,1,4,15
"Rowan County, NC",4,1,3,1,1,5,15
"Yadkin County, NC",4,1,3,1,1,5,15
"Alexander County, NC",4,1,3,1,1,4,14
"Alleghany County, NC",3,1,3,1,2,4,14
"Avery County, NC",3,1,3,1,2,4,14
"Burke County, NC",4,1,3,1,1,4,14
"Clay County, NC",3,1,3,1,2,4,14
"Forsyth County, NC",4,1,3,1,1,4,14
"Graham County, NC",3,1,3,1,2,4,14
"Haywood County, NC",3,1,3,1,2,4,14
"Jackson County, NC",3,1,3,1,2,4,14
"McDowell County, NC",3,1,3,1,1,5,14
"Macon County, NC",3,1,3,1,2,4,14
"Mitchell County, NC",3,1,3,1,2,4,14
"Person County, NC",4,1,3,1,1,4,14
"Rutherford County, NC",3,1,3,1,1,5,14
"Stokes County, NC",4,1,3,1,1,4,14
"Surry County, NC",4,1,3,1,1,4,14
"Swain County, NC",3,1,3,1,2,4,14
"Watauga County, NC",3,1,3,1,2,4,14
"Ashe County, NC",3,1,3,1,2,4,14
"Buncombe County, NC",3,1,3,1,2,4,14
"Madison County, NC",3,1,3,1,2,4,14
"Yancey County, NC",1,1,3,1,2,4,12
"Billings County, ND",4,2,4,1,3,4,18
"Bowman County, ND",4,1,4,1,3,5,18
"Hettinger County, ND",4,1,4,1,3,5,18
"McKenzie County, ND",4,2,3,1,4,4,18
"Slope County, ND",4,1,4,1,3,5,18
"Dunn County, ND",4,1,4,1,3,4,17
